"#" ; "Data prevista" ; "Tipo" ; "Aulas/peso" ; "Qtde Aulas Síncronas" ; "Conteúdo previsto"


"1" ; "11/08/2022" ; "Quinta" ; "Aula normal" ; "2" ; "2" ; "Apresentação da Disciplina e Projeto de Arquitetura. Atividade: Formação dos grupos e proposta de projeto de arquitetura."
"2" ; "15/08/2022" ; "Segunda" ; "Aula normal" ; "3" ; "3" ; "Visões Arquiteturais: estruturas arquiteturais e principais formas de representar arquiteturas. Atividade: discussão sobre uso de visões em processos reais."
"3" ; "18/08/2022" ; "Quinta" ; "Aula normal" ; "2" ; "2" ; "Entrega 1: Elaboração da Visão de Casos de Uso"
"4" ; "22/08/2022" ; "Segunda" ; "Aula normal" ; "3" ; "3" ; "Estilos Arquiteturais: estilos orientados a camadas e dados. Atividade: representação de um sistema fictício utilizando um estilo arquitetural."
"5" ; "25/08/2022" ; "Quinta" ; "Aula normal" ; "2" ; "2" ; "Estilos Arquiteturais: estilos orientados a eventos e serviços. Atividade: representação de um sistema fictício utilizando um estilo arquitetural."
"6" ; "29/08/2022" ; "Segunda" ; "Aula normal" ; "3" ; "3" ; "Estilos Arquiteturais: estilos destinados à Web. Atividade: representação de um sistema fictício utilizando um estilo arquitetural"
"7" ; "01/09/2022" ; "Quinta" ; "Aula normal" ; "2" ; "2" ; "Entrega 2: Escolha e Justificativa dos Estilos Arquiteturais"
"8" ; "05/09/2022" ; "Segunda" ; "Aula normal" ; "3" ; "3" ; "Documentação Arquitetural: modelo de representação da arquitetura. Atividade: documentação de um sistema fictício."
"9" ; "08/09/2022" ; "Quinta" ; "Aula normal" ; "2" ; "2" ; "Qualidade Arquitetural: medidas e fatores para avaliação da qualidade da arquitetura. Escolha e justificativa de atributos de qualidade para o projeto arquitetural."
"10" ; "12/09/2022" ; "Segunda" ; "Aula normal" ; "3" ; "3" ; "Qualidade Arquitetural: decisões arquiteturais segundo atributos de qualidade da ISO. Atividade: discussão dos atributos de qualidade escolhidos."
"11" ; "15/09/2022" ; "Quinta" ; "Aula normal" ; "2" ; "2" ; "Entrega 3: Visão de Desenvolvimento."
"12" ; "19/09/2022" ; "Segunda" ; "Aula normal" ; "3" ; "3" ; "Documentação Arquitetural. Atividade: avaliação de projetos dos demais grupos, segundo critérios apresentados em aula."
"13" ; "22/09/2022" ; "Quinta" ; "Aula normal" ; "2" ; "2" ; "Entrega 3.1: Visão de Desenvolvimento revisada."
"14" ; "26/09/2022" ; "Segunda" ; "Aula normal" ; "3" ; "3" ; "Revisão para Avaliação Escrita 1."
"1ª" ; "29/09/2022" ; "Quinta" ; "Avaliação" ; "2,50" ; "" ; "Avaliação Escrita 1"
"15" ; "29/09/2022" ; "Quinta" ; "Aula normal" ; "2" ; "2" ; "Avaliação Escrita 1"
"16" ; "03/10/2022" ; "Segunda" ; "Aula normal" ; "3" ; "3" ; "Padrões de Projeto (Design Patterns) Criacionais. Atividade: representação de uma solução fictícia utilizando padrões apresentados em sala."
"17" ; "06/10/2022" ; "Quinta" ; "Aula normal" ; "2" ; "2" ; "Padrões de Projeto (Design Patterns) Criacionais. Atividade: representação de uma solução fictícia utilizando padrões apresentados em sala."
"" ; "10/10/2022" ; "Segunda" ; "" ; "" ; "" ; "Semana de Planejamento"
"" ; "13/10/2022" ; "Quinta" ; "" ; "" ; "" ; "Semana de Planejamento"
"18" ; "17/10/2022" ; "Segunda" ; "Aula normal" ; "3" ; "3" ; "Padrões de Projeto (Design Patterns) Estruturais. Atividade: representação de uma solução fictícia utilizando padrões apresentados em sala."
"19" ; "20/10/2022" ; "Quinta" ; "Aula normal" ; "2" ; "2" ; "Padrões de Projeto (Design Patterns) Estruturais. Atividade: representação de uma solução fictícia utilizando padrões apresentados em sala."
"20" ; "24/10/2022" ; "Segunda" ; "Aula normal" ; "3" ; "3" ; "Semana Acadêmica do Curso."
"21" ; "27/10/2022" ; "Quinta" ; "Aula normal" ; "2" ; "2" ; "Semana Acadêmica do Curso."
"22" ; "31/10/2022" ; "Segunda" ; "Aula normal" ; "3" ; "3" ; "Padrões de Projeto (Design Patterns) Comportamentais. Atividade: representação de uma solução fictícia utilizando padrões apresentados em sala."
"23" ; "03/11/2022" ; "Quinta" ; "Aula normal" ; "2" ; "2" ; "Evento Qualifica."
"24" ; "07/11/2022" ; "Segunda" ; "Aula normal" ; "3" ; "3" ; "Padrões de Projeto (Design Patterns) Comportamentais. Atividade: representação de uma solução fictícia utilizando padrões apresentados em sala."
"3ª" ; "10/11/2022" ; "Quinta" ; "Avaliação" ; "1,00" ; "" ; "Atividades em Sala"
"25" ; "10/11/2022" ; "Quinta" ; "Aula normal" ; "2" ; "2" ; "Antipadrões de Projeto: conceitos e exemplos. Atividade: identificação e correção de antipadrões apresentados em sala."
"" ; "14/11/2022" ; "Segunda" ; "" ; "" ; "" ; "Recesso"
"26" ; "17/11/2022" ; "Quinta" ; "Aula normal" ; "2" ; "2" ; "Entrega 4: Visão Lógica."
"27" ; "21/11/2022" ; "Segunda" ; "Aula normal" ; "3" ; "3" ; "Revisão da Visão Lógica."
