"#" ; "Data prevista" ; "Tipo" ; "Aulas/peso" ; "Qtde Aulas Síncronas" ; "Conteúdo previsto"


"1" ; "15/08/2022" ; "Segunda" ; "Aula normal" ; "2" ; "2" ; "AULA PRESENCIAL: Apresentação do plano de ensino, formas de avaliação, horário de atendimento aos alunos e orientações gerais. Introdução aos conceitos de ética."
"2" ; "22/08/2022" ; "Segunda" ; "Aula normal" ; "2" ; "0" ; "AULA ASSÍNCRONA: Diferentes códigos de ética referentes ao profissional de computação. Código de ética e conduta profissional da ACM. Código de ética unificado IEEE-SC e ACM para Engenharia de Software. Código de Ética do profissional em informática da Sociedade Brasileira de Computação."
"3" ; "29/08/2022" ; "Segunda" ; "Aula normal" ; "2" ; "2" ; "AULA PRESENCIAL: Conceitos e definições de ética. Ética profissional, postura profissional. Ética na computação."
"4" ; "05/09/2022" ; "Segunda" ; "Aula normal" ; "2" ; "0" ; "AULA ASSÍNCRONA: Regulamentação da profissão - computação. Apresentação de normas e padrões que definem o perfil de atuação e nomenclaturas da área de ES. Apresentação da norma norma IEEE Std 12207-2008 (substituída pela IEEE / ISO / IEC 12207-2017). Revisão dos termos e nomenclaturas utilizadas na norma."
"5" ; "12/09/2022" ; "Segunda" ; "Aula normal" ; "2" ; "2" ; "AULA PRESENCIAL: Robótica e ética, acesso não autorizado - privacidade, ética na internet e temas pertinentes - (pesquisa para apresentação/debate)."
"1ª" ; "19/09/2022" ; "Segunda" ; "Avaliação" ; "2,00" ; "" ; "Trabalho em grupo 1"
"6" ; "19/09/2022" ; "Segunda" ; "Aula normal" ; "2" ; "2" ; "AULA PRESENCIAL: Apresentação dos temas debatidos nos grupos (robótica e ética, acesso não autorizado, ética na internet e demais temas pertinentes) relacionando com os códigos de ética da profissão."
"2ª" ; "26/09/2022" ; "Segunda" ; "Avaliação" ; "2,50" ; "" ; "Avaliação 1 (P1)"
"7" ; "26/09/2022" ; "Segunda" ; "Aula normal" ; "2" ; "2" ; "AULA PRESENCIAL: Avaliação 1 (P1)"
"8" ; "03/10/2022" ; "Segunda" ; "Aula normal" ; "2" ; "2" ; "AULA PRESENCIAL: Propriedade intelectual, registro de marcas e patentes, licenças de software. Plágio. Comitês de ética em pesquisa com seres humanos."
"" ; "10/10/2022" ; "Segunda" ; "" ; "" ; "" ; "Semana de Planejamento"
"9" ; "17/10/2022" ; "Segunda" ; "Aula normal" ; "2" ; "2" ; "AULA PRESENCIAL: Definição de tipos de conflito. Gerenciamento de conflitos. Técnicas para resolução de conflitos."
"10" ; "24/10/2022" ; "Segunda" ; "Aula normal" ; "2" ; "2" ; "AULA PRESENCIAL: Semana Acadêmica do Curso."
"11" ; "31/10/2022" ; "Segunda" ; "Aula normal" ; "2" ; "0" ; "AULA ASSÍNCRONA: Comportamento ético em reuniões. Comportamento profissional em reuniões."
"12" ; "07/11/2022" ; "Segunda" ; "Aula normal" ; "2" ; "0" ; "AULA ASSÍNCRONA: Higiene pessoal e do local de trabalho. Aspectos de apresentação pertinentes a trajes."
"" ; "14/11/2022" ; "Segunda" ; "" ; "" ; "" ; "Recesso"
"3ª" ; "21/11/2022" ; "Segunda" ; "Avaliação" ; "2,50" ; "" ; "Avaliação 2 (P2)"
"13" ; "21/11/2022" ; "Segunda" ; "Aula normal" ; "2" ; "2" ; "AULA PRESENCIAL: Avaliação 2 (P2)"
"" ; "28/11/2022" ; "Segunda" ; "" ; "" ; "" ; "Aniversário de Dois Vizinhos"
"14" ; "05/12/2022" ; "Segunda" ; "Aula normal" ; "2" ; "2" ; "AULA PRESENCIAL: Seminário - Apresentação dos trabalhos"
"4ª" ; "12/12/2022" ; "Segunda" ; "Avaliação" ; "3,00" ; "" ; "Seminário"
"15" ; "12/12/2022" ; "Segunda" ; "Aula normal" ; "2" ; "2" ; "AULA PRESENCIAL: Seminário - Apresentação dos trabalhos"
"16" ; "19/12/2022" ; "Segunda" ; "Aula normal" ; "2" ; "2" ; "AULA PRESENCIAL: Reavaliação."
