"#" ; "Data prevista" ; "Tipo" ; "Aulas/peso" ; "Qtde Aulas Síncronas" ; "Conteúdo previsto"


"1" ; "12/08/2022" ; "Sexta" ; "Aula normal" ; "2" ; "0" ; "Apresentação da disciplina e dos temas a serem abordados. Modelo de avaliações e organização dos trabalhos."
"2" ; "19/08/2022" ; "Sexta" ; "Aula normal" ; "2" ; "2" ; "Aula síncrona. Negócio e Processos: definição de negócio e processo. Tipos e elementos de processos. Visão do negócio."
"3" ; "26/08/2022" ; "Sexta" ; "Aula normal" ; "2" ; "0" ; "Aula assíncrona. Negócio e Processos: definição de negócio e processo. Tipos e elementos de processos. Visão do negócio."
"4" ; "02/09/2022" ; "Sexta" ; "Aula normal" ; "2" ; "2" ; "Aula síncrona. Estudos de caso"
"5" ; "09/09/2022" ; "Sexta" ; "Aula normal" ; "2" ; "0" ; "Aula assíncrona. Modelagem de Processos: conceitos de modelagem de processos e de regras de negócio. Modelagem de restrições."
"6" ; "16/09/2022" ; "Sexta" ; "Aula normal" ; "2" ; "2" ; "Aula síncrona. Modelagem de Processos: conceitos de modelagem de processos e de regras de negócio. Modelagem de restrições."
"7" ; "23/09/2022" ; "Sexta" ; "Aula normal" ; "2" ; "0" ; "Aula assíncrona. Estudos de caso"
"8" ; "30/09/2022" ; "Sexta" ; "Aula normal" ; "2" ; "0" ; "Aula assíncrona. Conceitos de ciclo de vida dos processos a partir de AS-IS/TO-BE. Construção de um modelo de processo."
"9" ; "07/10/2022" ; "Sexta" ; "Aula normal" ; "2" ; "2" ; "Aula síncrona. Conceitos de ciclo de vida dos processos a partir de AS-IS/TO-BE. Construção de um modelo de processo."
"" ; "14/10/2022" ; "Sexta" ; "" ; "" ; "" ; "Semana de Planejamento"
"10" ; "21/10/2022" ; "Sexta" ; "Aula normal" ; "2" ; "2" ; "Aula síncrona. Estudos de caso"
"11" ; "28/10/2022" ; "Sexta" ; "Aula normal" ; "2" ; "0" ; "Aula assíncrona. Semana acadêmica do curso"
"12" ; "04/11/2022" ; "Sexta" ; "Aula normal" ; "2" ; "0" ; "Aula assíncrona. Gestão de processos de negócio: Conceito BPM, aplicações e benefícios. Ciclo de vida BPM. Introdução ao BPMN e exemplos e notação BPMN."
"13" ; "11/11/2022" ; "Sexta" ; "Aula normal" ; "2" ; "2" ; "Aula síncrona. Gestão de processos de negócio: Conceito BPM, aplicações e benefícios. Ciclo de vida BPM. Introdução ao BPMN e exemplos e notação BPMN."
"2ª" ; "18/11/2022" ; "Sexta" ; "Avaliação" ; "4,00" ; "" ; "Avaliação CCH"
"14" ; "18/11/2022" ; "Sexta" ; "Aula normal" ; "2" ; "0" ; "Aula assíncrona. Gestão de processos de negócio: Conceito BPM, aplicações e benefícios. Ciclo de vida BPM. Introdução ao BPMN e exemplos e notação BPMN. Entrega CCH"
"1ª" ; "25/11/2022" ; "Sexta" ; "Avaliação" ; "6,00" ; "" ; "Avaliação P1"
"15" ; "25/11/2022" ; "Sexta" ; "Aula normal" ; "2" ; "2" ; "Aula síncrona. Avaliação (P1)"
"16" ; "02/12/2022" ; "Sexta" ; "Aula normal" ; "2" ; "0" ; "Aula assíncrona. Defesas de TCCs do Curso"
"17" ; "09/12/2022" ; "Sexta" ; "Aula normal" ; "2" ; "2" ; "Aula síncrona. Avaliação substitutiva (Sub)"
"18" ; "16/12/2022" ; "Sexta" ; "Aula normal" ; "2" ; "2" ; "Aula síncrona. Entrega final das notas e encerramento da disciplina"
