"#" ; "Data prevista" ; "Tipo" ; "Aulas/peso" ; "Qtde Aulas Síncronas" ; "Conteúdo previsto"


"1" ; "16/08/2022" ; "Terça" ; "Aula normal" ; "3" ; "3" ; "Apresentação da Disciplina e Conceitos Fundamentais de Qualidade de Software. Atividade: Proposta de um sistema/empresa fictícios para o projeto."
"2" ; "23/08/2022" ; "Terça" ; "Aula normal" ; "3" ; "3" ; "Custos e Impacto da Qualidade de Software. Atividade: Escolha e discussão de custos associados à produção do sistema fictício."
"3" ; "30/08/2022" ; "Terça" ; "Aula normal" ; "3" ; "3" ; "Qualidade do Processo de Produção. Atividade: Escolha e justificativa dos requisitos de qualidade do sistema fictício."
"4" ; "06/09/2022" ; "Terça" ; "Aula normal" ; "3" ; "3" ; "Normas e Padrões de Qualidade de Software. Atividade: Proposta de organização da empresa fictícia."
"5" ; "13/09/2022" ; "Terça" ; "Aula normal" ; "3" ; "3" ; "Melhoria de Processo de Produção e modelos atuais. Atividade: Identificação de etapas do processo que necessitam de melhoria."
"6" ; "20/09/2022" ; "Terça" ; "Aula normal" ; "3" ; "3" ; "Apresentação dos Seminários Técnicos."
"4ª" ; "27/09/2022" ; "Terça" ; "Avaliação" ; "1,00" ; "" ; "Seminários Técnicos"
"7" ; "27/09/2022" ; "Terça" ; "Aula normal" ; "3" ; "3" ; "Apresentação dos Seminários Técnicos."
"1ª" ; "04/10/2022" ; "Terça" ; "Avaliação" ; "2,50" ; "" ; "Avaliação Escrita 1"
"8" ; "04/10/2022" ; "Terça" ; "Aula normal" ; "3" ; "3" ; "Avaliação Escrita 1"
"" ; "11/10/2022" ; "Terça" ; "" ; "" ; "" ; "Semana de Planejamento"
"9" ; "18/10/2022" ; "Terça" ; "Aula normal" ; "3" ; "3" ; "Governança de TI: principais características e modelos de governança. Atividade: Identificação de atividades e objetivos a serem alcançados no sistema fictício."
"10" ; "25/10/2022" ; "Terça" ; "Aula normal" ; "3" ; "3" ; "Semana Acadêmica do Curso."
"11" ; "01/11/2022" ; "Terça" ; "Aula normal" ; "3" ; "3" ; "Planejamento e Garantia da Qualidade: garantia, controle e revisão. Atividade: Elaboração do Plano de Qualidade do sistema fictício."
"12" ; "08/11/2022" ; "Terça" ; "Aula normal" ; "3" ; "3" ; "Estimativas e Métricas de Qualidade: métricas de processo e de produto. Atividade: Identificação e estimativa de métricas do sistema fictício."
"" ; "15/11/2022" ; "Terça" ; "" ; "" ; "" ; "Proclamação da República"
"13" ; "22/11/2022" ; "Terça" ; "Aula normal" ; "3" ; "3" ; "Revisão para Avaliação Escrita 2"
"2ª" ; "29/11/2022" ; "Terça" ; "Avaliação" ; "2,50" ; "" ; "Avaliação Escrita 2"
"14" ; "29/11/2022" ; "Terça" ; "Aula normal" ; "3" ; "3" ; "Avaliação Escrita 2"
"15" ; "06/12/2022" ; "Terça" ; "Aula normal" ; "3" ; "3" ; "Apresentação dos Projetos de Qualidade"
"3ª" ; "13/12/2022" ; "Terça" ; "Avaliação" ; "4,00" ; "" ; "Projeto de Qualidade"
"16" ; "13/12/2022" ; "Terça" ; "Aula normal" ; "3" ; "3" ; "Apresentação dos Projetos de Qualidade"
"17" ; "20/12/2022" ; "Terça" ; "Aula normal" ; "3" ; "3" ; "Reavaliação"
