"#" ; "Data prevista" ; "Tipo" ; "Aulas/peso" ; "Qtde Aulas Síncronas" ; "Conteúdo previsto"


"1" ; "11/08/2022" ; "Quinta" ; "Aula normal" ; "2" ; "2" ; "Apresentação do plano de ensino, formas de avaliação e visão geral da disciplina"
"2" ; "17/08/2022" ; "Quarta" ; "Aula normal" ; "2" ; "2" ; "Visão geral do projeto"
"3" ; "18/08/2022" ; "Quinta" ; "Aula normal" ; "2" ; "2" ; "Algoritmos de busca e Meta-heurísticas (Visão Geral)"
"4" ; "24/08/2022" ; "Quarta" ; "Aula normal" ; "2" ; "2" ; "Algoritmos de busca e Meta-heurísticas (Visão Geral) - Atividade"
"5" ; "25/08/2022" ; "Quinta" ; "Aula normal" ; "2" ; "2" ; "Hill Climbing"
"6" ; "31/08/2022" ; "Quarta" ; "Aula normal" ; "2" ; "2" ; "Hill Climbing - Atividade"
"7" ; "01/09/2022" ; "Quinta" ; "Aula normal" ; "2" ; "2" ; "Tabu Search"
"" ; "07/09/2022" ; "Quarta" ; "" ; "" ; "" ; "Independência do Brasil"
"8" ; "08/09/2022" ; "Quinta" ; "Aula normal" ; "2" ; "2" ; "Tabu Search - Atividade"
"9" ; "14/09/2022" ; "Quarta" ; "Aula normal" ; "2" ; "0" ; "Atividade"
"10" ; "15/09/2022" ; "Quinta" ; "Aula normal" ; "2" ; "2" ; "Engenharia de Software Baseado em Busca* Leitura de artigos"
"11" ; "21/09/2022" ; "Quarta" ; "Aula normal" ; "2" ; "0" ; "Algoritmo Genético"
"12" ; "22/09/2022" ; "Quinta" ; "Aula normal" ; "2" ; "2" ; "Algoritmo Genético: Parâmetros e Técnicas de Reprodução"
"13" ; "28/09/2022" ; "Quarta" ; "Aula normal" ; "2" ; "0" ; "Algoritmo Genético - Técnicas de Seleção e Mutação* Algoritmo Genético - Atividade"
"14" ; "29/09/2022" ; "Quinta" ; "Aula normal" ; "2" ; "0" ; "Otimização por Enxame de Partículas"
"15" ; "05/10/2022" ; "Quarta" ; "Aula normal" ; "2" ; "2" ; "Otimização Colônia de Formigas"
"1ª" ; "06/10/2022" ; "Quinta" ; "Avaliação" ; "1,00" ; "" ; "Listas"
"16" ; "06/10/2022" ; "Quinta" ; "Aula normal" ; "2" ; "0" ; "Atividade"
"" ; "12/10/2022" ; "Quarta" ; "" ; "" ; "" ; "Padroeira do Brasil"
"" ; "13/10/2022" ; "Quinta" ; "" ; "" ; "" ; "Semana de Planejamento"
"17" ; "19/10/2022" ; "Quarta" ; "Aula normal" ; "2" ; "2" ; "Reconhecimento de Padrões"
"18" ; "20/10/2022" ; "Quinta" ; "Aula normal" ; "2" ; "0" ; "Redes Neurais"
"19" ; "26/10/2022" ; "Quarta" ; "Aula normal" ; "2" ; "2" ; "Aula prática Redes Neurais"
"20" ; "27/10/2022" ; "Quinta" ; "Aula normal" ; "2" ; "2" ; "Revisão Prova"
"" ; "02/11/2022" ; "Quarta" ; "" ; "" ; "" ; "Finados"
"2ª" ; "03/11/2022" ; "Quinta" ; "Avaliação" ; "3,50" ; "" ; "Prova"
"21" ; "03/11/2022" ; "Quinta" ; "Aula normal" ; "2" ; "2" ; "Prova"
"22" ; "09/11/2022" ; "Quarta" ; "Aula normal" ; "2" ; "0" ; "Onboarding Projetos"
"23" ; "10/11/2022" ; "Quinta" ; "Aula normal" ; "2" ; "2" ; "Leitura de Artigos e Trabalhos relacionados ao projeto"
"24" ; "16/11/2022" ; "Quarta" ; "Aula normal" ; "2" ; "0" ; "Projeto - Preparação da base de dados e função de avaliação"
"25" ; "17/11/2022" ; "Quinta" ; "Aula normal" ; "2" ; "2" ; "Projeto - Entrega 1 / Acompanhamento e Desenvolvimento"
"26" ; "23/11/2022" ; "Quarta" ; "Aula normal" ; "2" ; "0" ; "Projeto - Entrega 2 / Artigo Parcial"
"27" ; "24/11/2022" ; "Quinta" ; "Aula normal" ; "2" ; "2" ; "Projeto - Entrega 3 / Acompanhamento e Desenvolvimento"
"28" ; "30/11/2022" ; "Quarta" ; "Aula normal" ; "2" ; "0" ; "Projeto - Entrega 3 / Acompanhamento e Desenvolvimento"
"29" ; "01/12/2022" ; "Quinta" ; "Aula normal" ; "2" ; "2" ; "Projeto - Acompanhamento / Experimento"
"30" ; "07/12/2022" ; "Quarta" ; "Aula normal" ; "2" ; "0" ; "Projeto - Acompanhamento / Experimento"
"31" ; "08/12/2022" ; "Quinta" ; "Aula normal" ; "2" ; "2" ; "Projeto - Entrega 4 / Experimento"
"3ª" ; "14/12/2022" ; "Quarta" ; "Avaliação" ; "5,50" ; "" ; "Projeto e Artigo"
"32" ; "14/12/2022" ; "Quarta" ; "Aula normal" ; "2" ; "0" ; "Apresentação e Entrega Final - Seminário e Artigo*"
"33" ; "15/12/2022" ; "Quinta" ; "Aula normal" ; "2" ; "2" ; "Apresentação e Entrega Final - Seminário e Artigo*"
"34" ; "21/12/2022" ; "Quarta" ; "Aula normal" ; "2" ; "2" ; "Prova Substitutiva"
