"#" ; "Data prevista" ; "Tipo" ; "Aulas/peso" ; "Qtde Aulas Síncronas" ; "Conteúdo previsto"


"1" ; "11/08/2022" ; "Quinta" ; "Aula normal" ; "1" ; "1" ; "Apresentação da disciplina e da metodologia de* trabalho.; Apresentação dos Regulamentos de TCC da UTFPR e; do Curso de Engenharia de Software.; Apresentação do Edital para Entrega de; Documentação Referentes ao TCC 1 e TCC 2.; Atividades a serem realizadas pelos alunos durante; a disciplina."
"2" ; "17/08/2022" ; "Quarta" ; "Aula normal" ; "1" ; "1" ; "A meta do aluno de desenvolver a proposta e o* TCC1 como resultado da disciplina.; Apresentação da proposta de TCC: seu conteúdo,; contexto e finalidade."
"3" ; "18/08/2022" ; "Quinta" ; "Aula normal" ; "1" ; "1" ; "Elaboração de proposta de trabalho envolvendo* temas abrangidos pelo curso de Engenharia de; Software."
"4" ; "24/08/2022" ; "Quarta" ; "Aula normal" ; "1" ; "1" ; "Modelo de documento a ser utilizado para redigir a* proposta de TCC 1.;"
"5" ; "25/08/2022" ; "Quinta" ; "Aula normal" ; "1" ; "1" ; "A elaboração da proposta de TCC.* Os itens de composição da proposta e o conteúdo desses itens"
"6" ; "31/08/2022" ; "Quarta" ; "Aula normal" ; "1" ; "1" ; "Desenvolvimento da proposta de TCC.* Acompanhamento do desenvolvimento da proposta."
"7" ; "01/09/2022" ; "Quinta" ; "Aula normal" ; "1" ; "1" ; "Desenvolvimento da proposta de TCC.* Acompanhamento do desenvolvimento da proposta."
"" ; "07/09/2022" ; "Quarta" ; "" ; "" ; "" ; "Independência do Brasil"
"8" ; "08/09/2022" ; "Quinta" ; "Aula normal" ; "1" ; "1" ; "Submissão da proposta dia 12/09"
"9" ; "14/09/2022" ; "Quarta" ; "Aula normal" ; "1" ; "0" ; "Dicas estrutura da monografia de TCC"
"10" ; "15/09/2022" ; "Quinta" ; "Aula normal" ; "1" ; "1" ; "Apresentação do guia de escrita para aspectos conceituais"
"11" ; "21/09/2022" ; "Quarta" ; "Aula normal" ; "1" ; "0" ; "Uso do editor de texto LaTex para elaboração do* documento.; CCH"
"12" ; "22/09/2022" ; "Quinta" ; "Aula normal" ; "1" ; "1" ; "Uso do editor de texto LaTex para elaboração do* documento.; CCH"
"13" ; "28/09/2022" ; "Quarta" ; "Aula normal" ; "1" ; "0" ; "Organização dos capítulos da Monografia."
"14" ; "29/09/2022" ; "Quinta" ; "Aula normal" ; "1" ; "1" ; "Título do trabalho.* Resumo do trabalho."
"15" ; "05/10/2022" ; "Quarta" ; "Aula normal" ; "1" ; "0" ; "Construção da introdução.* Definição dos objetivos e da justificativa.; Definição de problema e hipótese."
"16" ; "06/10/2022" ; "Quinta" ; "Aula normal" ; "1" ; "1" ; "Construção da introdução.* Definição dos objetivos e da justificativa.; Definição de problema e hipótese."
"" ; "12/10/2022" ; "Quarta" ; "" ; "" ; "" ; "Padroeira do Brasil"
"" ; "13/10/2022" ; "Quinta" ; "" ; "" ; "" ; "Semana de Planejamento"
"17" ; "19/10/2022" ; "Quarta" ; "Aula normal" ; "1" ; "0" ; "Elaboração do estado da arte (revisão bibliográfica)"
"18" ; "20/10/2022" ; "Quinta" ; "Aula normal" ; "1" ; "1" ; "Elaboração do estado da arte (revisão bibliográfica)"
"19" ; "26/10/2022" ; "Quarta" ; "Aula normal" ; "1" ; "0" ; "Metodologia.* Desenvolvimento do trabalho."
"20" ; "27/10/2022" ; "Quinta" ; "Aula normal" ; "1" ; "1" ; "Metodologia.* Desenvolvimento do trabalho."
"" ; "02/11/2022" ; "Quarta" ; "" ; "" ; "" ; "Finados"
