"#" ; "Data prevista" ; "Tipo" ; "Aulas/peso" ; "Qtde Aulas Síncronas" ; "Conteúdo previsto"


"1" ; "17/08/2022" ; "Quarta" ; "Aula normal" ; "2" ; "2" ; "AULA PRESENCIAL - Apresentação do plano de aula da disciplina, dos métodos de avaliação e datas importantes."
"2" ; "24/08/2022" ; "Quarta" ; "Aula normal" ; "2" ; "0" ; "Online - Bases teóricas das Tecnologias da Informacão e Comunicação"
"3" ; "31/08/2022" ; "Quarta" ; "Aula normal" ; "2" ; "0" ; "Online - A Utilizacão da Tecnologia nos Ambientes Educacionais"
"" ; "07/09/2022" ; "Quarta" ; "" ; "" ; "" ; "Independência do Brasil"
"4" ; "14/09/2022" ; "Quarta" ; "Aula normal" ; "2" ; "0" ; "Online - A importância da utilização da mediação tecnológica"
"5" ; "21/09/2022" ; "Quarta" ; "Aula normal" ; "2" ; "0" ; "Online - Ciberespaço, Metaverso e educação a distância"
"1ª" ; "28/09/2022" ; "Quarta" ; "Avaliação" ; "0,30" ; "" ; "Avaliação 1"
"6" ; "28/09/2022" ; "Quarta" ; "Aula normal" ; "2" ; "2" ; "AULA PRESENCIAL - Primeira Avaliação"
"7" ; "05/10/2022" ; "Quarta" ; "Aula normal" ; "2" ; "2" ; "AULA PRESENCIAL - Jogos, jogos sérios, jogos educativos, e gamificação"
"" ; "12/10/2022" ; "Quarta" ; "" ; "" ; "" ; "Padroeira do Brasil"
"8" ; "19/10/2022" ; "Quarta" ; "Aula normal" ; "2" ; "0" ; "Online - Aprendizagem colaborativa com suporte computacional"
"9" ; "26/10/2022" ; "Quarta" ; "Aula normal" ; "2" ; "0" ; "Online - Semana Acadêmica do Curso."
"" ; "02/11/2022" ; "Quarta" ; "" ; "" ; "" ; "Finados"
"10" ; "09/11/2022" ; "Quarta" ; "Aula normal" ; "2" ; "0" ; "Online - Computação Persuasiva e Computação Afetiva"
"11" ; "16/11/2022" ; "Quarta" ; "Aula normal" ; "2" ; "0" ; "Online - Desenvolvimento de Software Educacional"
"2ª" ; "23/11/2022" ; "Quarta" ; "Avaliação" ; "0,30" ; "" ; "Avaliação 2"
"12" ; "23/11/2022" ; "Quarta" ; "Aula normal" ; "2" ; "2" ; "AULA PRESENCIAL - Segunda Avaliação"
"13" ; "30/11/2022" ; "Quarta" ; "Aula normal" ; "2" ; "2" ; "AULA PRESENCIAL - Avaliação de software educacional (parte I)"
"3ª" ; "07/12/2022" ; "Quarta" ; "Avaliação" ; "0,20" ; "" ; "CCH"
"4ª" ; "07/12/2022" ; "Quarta" ; "Avaliação" ; "0,20" ; "" ; "Atividades"
"14" ; "07/12/2022" ; "Quarta" ; "Aula normal" ; "2" ; "2" ; "AULA PRESENCIAL - Avaliação de software educacional (parte II)"
"15" ; "14/12/2022" ; "Quarta" ; "Aula normal" ; "2" ; "2" ; "AULA PRESENCIAL - Reavaliação"
"16" ; "21/12/2022" ; "Quarta" ; "Aula normal" ; "2" ; "2" ; "AULA PRESENCIAL - Apresentação de resultados e encerramento da Disciplina."
