-1,Início,Térm.,Segunda [2],Terça [3],Quarta [4],Quinta [5],Sexta [6],Sábado [7]
M1,07h30,08h20,,,,,,
M2,08h20,09h10,,,,,,
M3,09h10,10h00,,,,,,
M4,10h20,11h10,,,,,,
M5,11h10,12h00,,,,,,
M6,12h00,12h50,,,,,,
T1,13h00,13h50,,,,,,
T2,13h50,14h40,,,,,,
T3,14h40,15h30,,,,,,
T4,15h50,16h40,,,,,,
T5,16h40,17h30,,,,,,
T6,17h30,18h20,,,,,,
N1,19:00,19:45,EP27S-7ES1/B6-S4,PC27S-7ES1/B6-S4,SI27S-7ES1/AUD G10,AS27S-7ES1/B6-S6,PC27S-7ES1/B4-S1,
N2,19:45,20:30,EP27S-7ES1/B6-S4,PC27S-7ES1/B6-S4,SI27S-7ES1/AUD G10,AS27S-7ES1/B6-S6,PC27S-7ES1/B4-S1,
N3,20:30,21:15,AS27S-7ES1/B6-S4,QS27S-7ES1/B6-S6,TC27S-7ES1/AUD G10,SI27S-7ES1/AUD G10,,
N4,21:30,22:15,AS27S-7ES1/B6-S4,QS27S-7ES1/B6-S6,TI29S-7ES1OPT/1ENGSOFT,SI27S-7ES1/AUD G10,MP29S-7ES1OPT/SOFTREMOTO,
N5,22:15,23:00,AS27S-7ES1/B6-S4,QS27S-7ES1/B6-S6,TI29S-7ES1OPT/1ENGSOFT,TC27S-7ES1/AUD G10,MP29S-7ES1OPT/SOFTREMOTO,
